volume,day
272.3747733773925586,2023-08-13 00:00:00
237.8206994980155273,2023-08-14 00:00:00
350.9925598029121875,2023-08-15 00:00:00
373.1687658736427686,2023-08-16 00:00:00
238.7194697156819531,2023-08-17 00:00:00
200.1404406275114541,2023-08-18 00:00:00
229.9425033652187256,2023-08-19 00:00:00
125.6461241380939102,2023-08-20 00:00:00
169.5297025219142627,2023-08-21 00:00:00
169.6125236583520703,2023-08-22 00:00:00
235.5464183563844971,2023-08-23 00:00:00
226.1438443393499277,2023-08-24 00:00:00
294.5812859944553564,2023-08-25 00:00:00
339.5511727052526094,2023-08-26 00:00:00
305.6251749164230254,2023-08-27 00:00:00
314.8138658402249336,2023-08-28 00:00:00
377.2370084053336523,2023-08-29 00:00:00
349.6323969093537041,2023-08-30 00:00:00
237.4477082371395205,2023-08-31 00:00:00
263.4398167779017930,2023-09-01 00:00:00
336.8279859294434551,2023-09-02 00:00:00
288.7807084184414678,2023-09-03 00:00:00
287.0065061718314648,2023-09-04 00:00:00
384.0622263663035488,2023-09-05 00:00:00
461.5464044693517305,2023-09-06 00:00:00
496.9729382525674727,2023-09-07 00:00:00
371.8680738691118721,2023-09-08 00:00:00
275.6370471897489551,2023-09-09 00:00:00
190.6439136966455361,2023-09-10 00:00:00
465.9544099970198633,2023-09-11 00:00:00
356.3051012551541143,2023-09-12 00:00:00
475.5423208198644736,2023-09-13 00:00:00
426.1305605228526494,2023-09-14 00:00:00
299.2713838837826152,2023-09-15 00:00:00
423.9977172107928750,2023-09-16 00:00:00
336.7689805399022578,2023-09-17 00:00:00
384.3075485990584658,2023-09-18 00:00:00
469.2292338242014023,2023-09-19 00:00:00
348.5068491427118682,2023-09-20 00:00:00
423.7535235453215127,2023-09-21 00:00:00
395.9014481287967969,2023-09-22 00:00:00
384.7039509055248359,2023-09-23 00:00:00
353.6360068009498691,2023-09-24 00:00:00
401.3658950911403750,2023-09-25 00:00:00
372.6800783224280166,2023-09-26 00:00:00
500.1100372094988438,2023-09-27 00:00:00
399.8171959837281992,2023-09-28 00:00:00
203.4226693226255508,2023-09-29 00:00:00
221.4707879979550840,2023-09-30 00:00:00
330.6199311536511230,2023-10-01 00:00:00
323.1447784979836748,2023-10-02 00:00:00
272.3441202881404014,2023-10-03 00:00:00
435.8505200833178613,2023-10-04 00:00:00
454.9421958304437832,2023-10-05 00:00:00
412.4648237027095127,2023-10-06 00:00:00
301.3188106199240781,2023-10-07 00:00:00
314.1715554243837646,2023-10-08 00:00:00
222.0494575253242109,2023-10-09 00:00:00
233.9700702267855361,2023-10-10 00:00:00
352.0867069200712686,2023-10-11 00:00:00
272.8902578527504346,2023-10-12 00:00:00
145.2003018360173896,2023-10-13 00:00:00
194.4596551305221563,2023-10-14 00:00:00
169.2604272035187051,2023-10-15 00:00:00
221.8379726646771816,2023-10-16 00:00:00
374.8229646329173184,2023-10-17 00:00:00
179.2142674867782305,2023-10-18 00:00:00
91.2595679959731572,2023-10-19 00:00:00
121.2465426458256816,2023-10-20 00:00:00
209.1593713912607197,2023-10-21 00:00:00
147.0968995309112832,2023-10-22 00:00:00
319.6705980745191475,2023-10-23 00:00:00
293.8897398637773232,2023-10-24 00:00:00
284.2601832591171836,2023-10-25 00:00:00
288.0712263989398672,2023-10-26 00:00:00
216.9594780637526133,2023-10-27 00:00:00
203.3083871378275967,2023-10-28 00:00:00
168.9331776766211982,2023-10-29 00:00:00
157.5998545759593965,2023-10-30 00:00:00
306.1079032074157998,2023-10-31 00:00:00
336.8640288412334443,2023-11-01 00:00:00
348.0659971604090977,2023-11-02 00:00:00
259.5548343076379775,2023-11-03 00:00:00
230.7206984997028447,2023-11-04 00:00:00
186.9985348862974170,2023-11-05 00:00:00
236.5457200131077100,2023-11-06 00:00:00
258.2768331240213203,2023-11-07 00:00:00
349.5319035624306680,2023-11-08 00:00:00
311.2901815386358066,2023-11-09 00:00:00
474.7408216573949150,2023-11-10 00:00:00
237.1071455171540928,2023-11-11 00:00:00
157.4210779304830840,2023-11-12 00:00:00
64.8261407871787012,2023-11-13 00:00:00
