day count ?column?
2023-04-20 00:00:00-05 18683 2.3783717306350809
2023-04-21 00:00:00-05 62228 31.7383258826412207
2023-04-22 00:00:00-05 22545 20.6997845184569092
2023-04-23 00:00:00-05 29088 25.3130582717221846
2023-04-24 00:00:00-05 31471 23.7757802343667207
2023-04-25 00:00:00-05 90344 19.1491096092577207
2023-04-26 00:00:00-05 31049 6.2360875349932030
2023-04-27 00:00:00-05 16006 8.8162218696024865
(8 rows)
