#year,cms,other
2001-01-01 00:00:00,1.7636432252429586,0.00000000000000000000
2003-01-01 00:00:00,16.4681215448581494,17.3566931398372617
2004-01-01 00:00:00,92.0035904830328945,205.3438071320451836
2005-01-01 00:00:00,332.7258897506017109,228.7797744528925225
2006-01-01 00:00:00,556.5773912071344951,577.7985161189972119
2007-01-01 00:00:00,3556.4557621855328750,809.7793683492482188
2008-01-01 00:00:00,3083.0538606549953076,1013.2608306407255078
2009-01-01 00:00:00,7453.9803971290439414,1609.4376172977672861
2010-01-01 00:00:00,9331.4578411907213779,1689.9798335511450674
2011-01-01 00:00:00,12624.392558695779,2106.6402213115952871
2012-01-01 00:00:00,17808.128425173069,1964.2804542691656396
2013-01-01 00:00:00,12214.924937569952,3026.2749316576236816
2014-01-01 00:00:00,2390.8873540176173691,5232.9383062580346104
2015-01-01 00:00:00,7086.3283232535804648,10435.142018939641
2016-01-01 00:00:00,17867.141412169838,13485.090600861121
2017-01-01 00:00:00,19163.472648247404,18214.447617506702
2018-01-01 00:00:00,22304.461642517388,28658.084569678244
2019-01-01 00:00:00,17509.508934673036,27383.623441129966
2020-01-01 00:00:00,34486.094661613513,43596.970033434009
2021-01-01 00:00:00,35420.906589198302,44704.348581289157
2022-01-01 00:00:00,13066.537088858844,53578.021668185917
2023-01-01 00:00:00,916.2646879554276846,23607.282520715114
